Dataset Name,Gene Name,Sequence Length,Number Taxa,Percent Missing,Most missing,Least missing,base frequency p-value,HoT Alignment Score
Chiari_ESTs,my_ENSGALG00000000041.macse_DNA_gb,498,10,0.0361,0.3494,0,0.01157928,0.993988
Chiari_ESTs,my_ENSGALG00000000169.macse_DNA_gb,549,12,0.0455,0.2896,0,0,1
Chiari_ESTs,my_ENSGALG00000000223.macse_DNA_gb,846,11,0.1341,0.4645,0,0.00002181,1
Chiari_ESTs,my_ENSGALG00000000374.macse_DNA_gb,1320,10,0.1118,0.5477,0,0,0.990909
Chiari_ESTs,my_ENSGALG00000000707.macse_DNA_gb,798,14,0.1007,0.4286,0,0.00000006,1
Chiari_ESTs,my_ENSGALG00000000811.macse_DNA_gb,621,10,0.0623,0.2657,0,0.00026273,1
Chiari_ESTs,my_ENSGALG00000000814.macse_DNA_gb,804,12,0.1399,0.7575,0,0.00163606,1
Chiari_ESTs,my_ENSGALG00000000921.macse_DNA_gb,702,11,0.094,0.4188,0,0.0075593,0.527066
Chiari_ESTs,my_ENSGALG00000001000.macse_DNA_gb,1344,14,0.0848,0.4241,0,0,1
Chiari_ESTs,my_ENSGALG00000001005.macse_DNA_gb,1047,15,0.1763,0.616,0,0,0.997135
Chiari_ESTs,my_ENSGALG00000001179.macse_DNA_gb,969,11,0.2381,0.9907,0,0.90359981,1
Chiari_ESTs,my_ENSGALG00000001217.macse_DNA_gb,837,11,0.2147,0.871,0,0.00159378,1
Chiari_ESTs,my_ENSGALG00000001241.macse_DNA_gb,471,10,0.0089,0.0892,0,0.00023838,1
Chiari_ESTs,my_ENSGALG00000001250.macse_DNA_gb,612,13,0.0343,0.1667,0,0.55864413,1
Chiari_ESTs,my_ENSGALG00000001362.macse_DNA_gb,585,10,0.1031,0.4051,0,0.05437543,1
Chiari_ESTs,my_ENSGALG00000001413.macse_DNA_gb,762,10,0.0795,0.4331,0,0,1
Chiari_ESTs,my_ENSGALG00000001452.macse_DNA_gb,669,14,0.0054,0.0673,0,0.10915457,1
